Transaction,Date,Fund,Quantity,Price,Fees,Cash
Buy,07/07/2015,WPCT,7560,1.1295,9.95,
Buy,07/07/2015,CUKS,51,167.307,9.95,
Buy,07/07/2015,IUKP,1299,6.573413,9.95,
Buy,07/07/2015,EUA,54.7439,155.78,22.01,
Buy,07/07/2015,EDW,38.5729,221.53,4.95,
Sell,02/09/2015,EDW,-38.5729,209.49,4.95,
Sell,02/09/2015,EUA,-54.7439,149.55,4.95,
Sell,01/10/2015,CUKS,-51,161.9876,9.95,
Sell,01/10/2015,WPCT,-7560,1.0554,9.95,
Buy,02/10/2015,SGLO,124,69.139,9.95,
Buy,02/10/2015,VGOV,401,21.516,9.95,
Sell,03/11/2015,VGOV,-401,21.0936,9.95,
Sell,03/11/2015,SGLO,-124,67.211,9.95,
Buy,04/11/2015,CUKS,52,166.6144,9.95,
Buy,04/11/2015,PW,"5,714.29",1.519,4.95,
Buy,02/12/2015,VGOV,408,21.4433,9.95,
Buy,02/12/2015,EDW,38.6705,226.6599,4.95,
Sell,06/01/2016,IUKP,-1299,6.55813,9.95,
Buy,06/01/2016,SGLO,124,70.679,4.95,
Sell,02/02/2016,PW,"-5,714.29",1.531,4.95,
Sell,02/02/2016,CUKS,-52,158.9322,9.95,
Buy,02/02/2016,SGLN,568,15.43588,9.95,
Buy,06/04/2016,CUKS,50,166.2336,9.95,
